"Дата, время начала",Районы,подтвержденные (прогноз оправдался),"НЯ, ОЯ, КНЯ",Тип явления,Критерий,Характеристика,Последствия
2015-05-25 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 25 мая местами по Пермскому краю ожидаются заморозки на поверхности почвы и в воздухе 0,-2.",
2015-05-29 12:00:00,Местами по краю,,ОЯ,Метеорологическое, Аномально жаркая погода,29.05 - 02.06 в Пермском крае ожидается аномально жаркая погода - среднесуточная температура воздуха выше климатической нормы на 7° и более.,
2015-05-31 12:00:00,Местами по краю, +,ОЯ,Метеорологическое, Сильная жара,"Днем 31.05, 01-02.06 ожидается сильная жара 30-33 градуса, местами до 36 градусов.",
2015-06-02 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Ураганный ветер(ураган) , Очень сильный дождь",,
2015-06-02 14:00:00,Местами по краю, +,ОЯ,Метеорологическое," Шквал , Очень сильный дождь , Крупный град , Аномально жаркая погода","во второй половине дня 02 июня и сохранением 03 июня в Пермском крае ожидаются грозы с очень сильным дождем, крупным градом, шквалистым усилением ветра 20-25 м/с.",
2015-06-06 00:00:00,"Кунгурский МР, Верещагинский МР, Кудымкарский МР",,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,По информации Пермского центра по гидрометеорологии и мониторингу окружающей среды 6 июня 2015 года в Пермском крае сохранится высокая пожарная опасность - 4 класс.,
2015-06-07 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,ночью 07.06.2015  местами по Пермскому краю ожидается очень сильный дождь.,
2015-06-08 15:40:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Крупный град","В ближайшие 1-3 часа на территории Пермского края ожидаются грозы, град, порывы ветра 15-20 м/с.",В результате прохождения грозового фронта произошло отключения эл. энергии в  30 МР 139 населенных пунктах
2015-06-10 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"По данным Пермского ЦГМС - филиала ФГБУ ""Уральское УГМС"": ночью 10 и 11 июня местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0, -2°.",
2015-06-18 00:00:00,Местами по краю,,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","18.06 местами по Пермскому краю ожидается очень сильный дождь, гроза, крупный град, ветер 20-25 м/с.",
2015-06-19 00:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Крупный град","Ночью 19 июня 2015 в Пермском крае сохранится очень сильный дождь, гроза, крупный град, ветер 20-25 м/с",
2015-06-21 12:00:00,Местами по краю, +,ОЯ,Метеорологическое," Сильная жара , Аномально жаркая погода",В период с 21 по 25 июня в Пермском крае ожидается аномально жаркая погода(среднесуточная температура воздуха выше на 7 и более градусов). 21-23 июня местами ожидается сильная жара 31-36 градусов,
2015-06-23 12:00:00,Местами по краю, +,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","в период 23 июня и 24 июня 2015 г. в Пермском крае ожидается гроза, очень сильный дождь, крупный град, усиление ветра, порывы при грозе 20-25 м/с.","Подтвердилось частично, прошли грозы, максимальные порывы 19 м/с Березники, 33 мм осадков Добрянка. Произошли отключения электроэнергии  в 9  МР."
2015-06-25 00:00:00,Местами по краю, +,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","25 июня в Пермском крае сохранятся грозы, шквалистое усиление ветра, порывы 20-25 м/с, крупный град, очень сильный дождь.",В результате прохождения грозового фронта произошли веерные отключения  электроснабжения на территории муниципальных районов Пермского края.
2015-06-27 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,местами по Пермскому краю 4 класс пожарной опасности,
2015-06-28 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,местами по Пермскому краю 4 класс пожарной опасности,
2015-07-01 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,1-2 июля 2015 года местами по краю ожидается очень сильный дождь.,
2015-07-01 12:00:00,ГО г. Чернушка,,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,4 КПО - Чернушка,
2015-07-02 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь, Ночью 02.07 местами по Пермскому краю сохранится очень сильный дождь.,
2015-07-05 21:00:00,Местами по краю,,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","06 июля 2015 г. ночью местами по Пермскому краю  ожидается сильный дождь, гроза, порывы ветра при грозе до 19 м/с.",
2015-07-07 00:00:00,Местами по краю,,НЯ,Агрометеорологическое, Заморозки,"Во второй половине ночи 07.07 и ночью 08.07 местами по Пермскому краю ожидаются заморозки 0,-1. Детализированный прогноз не отрабатывался",
2015-07-12 20:00:00,Местами по краю, +,ОЯ,Метеорологическое, Очень сильный дождь,Ночью и утром 13.07 местами по востоку Пермского края ожидается очень сильный дождь,отключения э/э
2015-07-13 12:00:00,Местами по краю, +,ОЯ,Метеорологическое, Очень сильный дождь,днем 13.07.2015 местами по краю сохранится сильный и очень сильный дождь.,
2015-08-01 00:00:00,Местами по краю,,КНЯ,КНЯ," Град, ливень, сильный дождь, сильный ветер","01  и  02.08  местами по Пермскому краю ожидается гроза, крупный град, очень сильный дождь, усиление ветра 20-25 м/с.",
2015-08-10 06:00:00,"Горнозаводский МР, Чусовской МР",,ОЯ,Метеорологическое, Очень сильный дождь,"Утром и днем 10.08  местами по востоку ожидается очень сильный дождь. Гроза, порывы ветра при грозе до 18 м/с",
2015-08-14 18:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Шквал , Очень сильный дождь , Сильный ливень","Ночью 15.08  местами по Пермскому краю и в Перми ожидается очень сильный дождь, сильный ливень, крупный град, шквалистое усиление ветра 20-25 м/с.",
2015-08-17 20:00:00,"Александровский МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, Чусовской МР, ГО г. Горнозаводск",,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","вечером 17.08, ночью и днем 18.08 с сохранением ночью 19.08 местами по востоку Пермского края ожидается очень сильный дождь, усиление северо-восточного ветра порывы 20-25 м/с.",
2015-08-30 22:00:00,Местами по краю, +,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","ночью 30.08 местами по северу и востоку ПК сохранятся заморозки в воздухе и на поверхности почвы 0,-2С. 30-31.08 местами по ПК ожидается очень сильный дождь, усиление восточного, северо-восточного ветра, порывы 20-25 м/с.","Очень сильный дождь в ночь на 30.08 по югу, по северу-востоку заморозки до -1С."
2015-09-01 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 1-4 сентября местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы -1, -3",
2015-09-05 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 05.09.2015 местами по Пермскому краю сохранятся заморозки в воздухе и на поверхности почвы 0,-3",
2015-09-11 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Заморозки,"11-13 сентября местами по краю ожидаются заморозки в воздухе и на почве 0,-2",
2015-09-14 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"14-15 сентябра местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы о,-2",подтверждено Кочево -0.4
2015-09-15 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 15-17.09 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-2°.",
2015-10-05 10:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,Днем 05.10 порывы ветра 15-20 м/с,
2015-10-08 12:00:00,Местами по краю, +,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег","Днем 08.10 и 09.10 местами по краю ожидается сильный и очень сильный снег, усиление северо-восточного ветра порывы 20-25 м/с, метель, сильный гололед, налипание мокрого снега, установление временного снежного покрова. На дорогах гололедица.","Сильный снег, порывы ветра до 18 м/с, метель, гололедица"
2015-11-21 19:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Сильная метель","Вечером 21 ноября,с сохранением 22 и 23 ноября местами по ПК ожидается усиление ЮВ ветра порывы 20-25 м/с, сильные снегопады, метели, отложение мокрого снега, гололеды. На дорогах снежный накат, гололедица. 22 ноября резкое повышение t а 10 С",
2015-12-02 00:00:00,"Красновишерский МР, Лысьва (район) МР, Губахинский МР, Горнозаводский МР, Кунгурский МР, ГО г. Губаха, ГО г. Кунгур, ГО г. Лысьва, ГО г. Горнозаводск, ГО г. Красновишерск",,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,Ночью и утром 2 декабря по горно-восточным районам Пермского края ожидается сильная изморозь.,
2015-10-07 00:00:00,ВСЕ муниципальные образования,,КНЯ,КНЯ,,"Ночью и днем 7 декабря местами по Пермскому краю ожидается отложение гололеда, мокрого снега, сложное отложение, сильный снег, мокрый снег, усиление юго-западного ветра порывы 17-24 м/с.",
2015-12-07 00:00:00,Местами по краю, +,КНЯ,КНЯ," Гололед, налипание мокрого снега при сильном ветре, сильный мокрый снег, сильный снег","Ночью и днем 7 декабря местами по Пермскому краю ожидается отложение гололеда, мокрого снега, сложное отложение, сильный снег, мокрый снег, усиление юго-западного ветра порывы 17-24 м/с.","Отключение электроэнергии 10 МР: Куединского, Юрлинского, Соликамского, Пермского, Гайнского, Добрянского, Красновишерского, Бардымского муниципальных районов, Лысьвенского и Березниковского городских округов"
2016-01-02 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Сильное гололедно-изморозевое отложение на проводах","03.01.2016 ожидается переменная облачность, местами кратковременный снег,  слабая изморозь, сложное отложение. Ветер восточный ночью 6-11 м/с, днём 7-12 м/с, порывы 15-20 м/с. Температура воздуха ночью -20,-25о, при прояснениях от -27,-32о,  днем -15,-20",
2016-01-18 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег , Сильная метель","18-19 января ожидается небольшой и умеренный, в отдельных районах сильный снег, метель. Ветер  юго-восточный 7-12 м/с, порывы до 17 м/с.",
2016-02-23 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег , Сильное гололедно-изморозевое отложение на проводах","24 февраля ожидается облачная погода с прояснениями, ночью местами сильные осадки  (снег, мокрый снег, днем с дождем), ночью в отдельных районах метели, гололеды, налипание мокрого снега. Ветер юго-западный, южный ночью 8-13 м/с, порывы до 18 м/с.",
2016-03-18 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег , Сильное гололедно-изморозевое отложение на проводах","19.03 ожидается местами сильный снег, метель. Порывы ветра до 13 м/с.",
2016-04-13 17:00:00,Местами по краю,,НЯ,Гидрологическое," Половодье , Паводок","существует вероятность повышения уровня воды до отметки, при которой возможно возникновение неблагоприятного гидрологического явления  (подтопление  пониженных участков в п.Верхнечусовские Городки).",
2016-04-18 20:00:00,Местами по краю,,ОЯ,Гидрологическое, Половодье,"18-19 апреля в р.Иньве у г.Кудымкара ожидается повышение уровня воды. Уровень воды в 610 см, при которой возможно возникновение опасного гидрологического явления. ). В реке Чусовой сохраниться неблагоприятная гидрологическая ситуация для г.Чусового и его",
2016-04-19 08:00:00,Карагайский МР, +,ОЯ,Гидрологическое, Половодье,"19 апреля уровень воды в р.Обве у с.Карагай достиг ОЯ (500 см над нулем поста). На 8 часов утра местного времени уровень воды составил 507 см над нулем поста, что выше отметки ОЯ на 7 см. В ближайшие четверо суток 19-22 апреля ожидается  повышение уровня",
2016-04-19 14:00:00,ГО г. Кудымкар, +,ОЯ,Гидрологическое, Половодье,"18 апреля уровень воды в р.Иньва у г.Кудымкар достиг отметки ОЯ (610 см над нулем поста). 19 апреля к 14 часам дня уровень воды повысился до 642 см над нулем поста, что выше отметки ОЯ на 32 см. Повышение уровня воды продолжается, зона затопления в город",
2016-04-20 10:00:00,Местами по краю, +,НЯ,Гидрологическое, Половодье,"Уровень НБ Камской ГЭС достигнет 90,5-91,0 мБС. Оперативного предупреждения №1 не было.",
2016-04-20 10:00:00,ГО г. Кунгур,,ОЯ,Гидрологическое, Половодье,"В ближайшие трое суток (20-22 апреля) в р.Сылве возможно продолжение подъема уровня воды, возникновение опасного гидрологического явления для г. Кунгура. В районе г. Кунгура гидрологических постов нет, однако при дальнейшем росте уровня воды в реке Сылве",
2016-04-21 00:00:00,Косинский МР,,ОЯ,Гидрологическое, Половодье,"В ближайшие трое суток (21-23 апреля) в р. Коса у с. Коса ожидается дальнейшее повышение уровня воды. Уровень воды достигнет и может превысить опасную отметку (680 см над нулем графика поста), при которой возможно возникновение опасного гидрологического",
2016-04-21 10:00:00,Местами по краю, +,ОЯ,Гидрологическое," Половодье , Паводок","Уровень НБ Камской ГЭС достигнет 91,8-93,0 мБС",
2016-04-22 00:00:00,"Косинский МР, ГО г. Кунгур", +,ОЯ,Гидрологическое, Половодье,"В ближайшие трое суток в р.Сылва возможно продолжение подъема уровня воды, возникновение возникновение опасного гидрологического явления для г.Кунгура. В ближайшие трое суток в р. Коса у с.Коса ожидается дальнейшее повышение уровня воды.",
2016-04-23 00:00:00,Карагайский МР,,ОЯ,Гидрологическое, Половодье,"В р. Обва у с. Карагай началось медленное понижение уровня воды. В ближайшие 2 суток (23-24 апреля), ожидается, что уровень воды в р. Обва у с. Карагай будет находится на отметках, превышающих отметку ОЯ (500 см над нулем поста).",
2016-04-23 11:00:00,Местами по краю,,ОЯ,Гидрологическое, Половодье,"24-26  апреля в реке Коса у с.Коса ожидается дальнейшее повышение уровня воды подтопление жилых и производственных объектов, Усть-Коса, Солым  Косинского района",
2016-04-25 10:00:00,Местами по краю,,НЯ,Гидрологическое, Половодье,"Уровень НБ Камской ГЭС достигнет 93,2 мБС",
2016-04-29 15:00:00,"Пермский МР, Краснокамский МР, Еловский МР, Частинский МР, Нытвенский МР, ГО г. Пермь, ГО г. Краснокамск, ГО г. Чайковский, ГО г. Нытва, ГО г. Оханск",,НЯ,Гидрологическое, Половодье,"Уровень НБ Камской ГЭС достигнет 93,4 мБС",
2016-04-30 08:00:00,Гайнский МР,,ОЯ,Гидрологическое, Половодье,30.04-01.05 подъем уровня воды в р. Кама продолжится в районе пгт. Гайны. При котором наблюдается опасное гидрологическое явление.,
2016-05-02 00:00:00,Гайнский МР,,ОЯ,Гидрологическое," Половодье , Паводок","В ближайшие трое суток (2-4 мая) уровень воды в  реке Каме в районе ПГТ Гайны будет находиться на отметках, превышающих отметку ОЯ (560 см над нулем поста).",
2016-05-09 23:00:00,Местами по краю,,ОЯ,Метеорологическое, Заморозки,"Ночью 09.05 местами по Пермскому краю сохранятся заморозки в воздухе и на поверхности почвы 0,-5°, в Перми ожидаются 0,-2°",
2016-05-08 23:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 09.05 местами по Пермскому краю сохранятся заморозки в воздухе и на поверхности почвы 0,-5°, в Перми ожидаются 0,-2°",
2016-05-12 18:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Сильный ливень , Крупный град , Чрезвычайная пожарная опасность","Во 2 половине дня 12.05 и ночью 13.05 местами по краю и в Перми ожидаются грозы, крупный град, сильные ливни, усиление ЮЗ ветра, порывы ветра 20-25; 12.05 местами по югу края сохранится высокая ПО (4 класс)",
2016-05-14 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 14-16.05 в Пермском крае ожидаются заморозки в воздухе и на поверхности почвы 0,-5°, в низких местах до -8°, в Перми 0,-2°.",
2016-05-17 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"ночью 17.05 местами по Пермскому краю сохранятся заморозки в воздухе и на поверхности почвы 0,-4°, в Перми на поверхности почвы до -0°.",
2016-05-23 08:00:00,Местами по краю,,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,23.05.2016 местами по краю ожидается высокая пожарная опасность (4КПО),
2016-05-25 00:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое, Аномально жаркая погода,С 25 по 27 мая по Пермскому края сохранится аномально жаркая погода,
2016-05-26 12:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое," Очень сильный ветер , Аномально жаркая погода , Чрезвычайная пожарная опасность","Сохраняется аномально жаркая погода, высокая пожарная опасногсть 4 КПО. Порывы ветра при грозе 15-20 м/с",
2016-05-28 12:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Чрезвычайная пожарная опасность","4 КПО. Сильный дождь, грозы, град. Порывы ветра при грозе 17-22 м/с",
2016-05-30 09:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,30.05 по 01.06 в Пермском крае и по г.Пермси сохраняется высокая пожарная опасность(4класс),
2016-05-31 00:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 31 мая, 1 и 2 июня по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0, -3.",
2016-06-01 00:00:00,ВСЕ муниципальные образования,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 01,02.06 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0,-3°.",
2016-06-02 00:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,"02.06 повсеместно, 03-04.06 центральные и южные районы 4 кл. ПО",
2016-06-05 12:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,"05 июня на большей части территории Пермского края, 06 июня местами по южным районам края сохранится высокая пожарная опасность (4 класс).Порывы ветра при грозе 17-22 м/с",
2016-06-07 13:00:00,"ГО г. Чайковский, ГО г. Чернушка",,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,С 7 по 10 июня местами в южных районах по Пермскому краю сохраняется высокая пожарная опасность,
2016-06-20 17:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный ливень , Чрезвычайная пожарная опасность","местами по Пермскому краю ожидаются грозы, сильные дожди, град, усиление южного, юго-западного ветра порывы 18-23 м/с.  сохраняется 21-23.06 4 КПО",
2016-06-24 20:00:00,Местами по краю,,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,24-26.06 4 КПО в юго-восточных районах края,
2016-06-27 20:00:00,Местами по краю, +,ОЯ,Метеорологическое, Шквал,"вечером 27 и 28 июня местами по краю (в горно-восточных районах) ожидаются очень сильные дожди, грозы, град, при грозах шквалистое усиление ветра до 20-25 м/с","Оправдался ветер, в Осе 22 м/с, осадки до 20 мм, отключения э/э мелкие в ПРЦ не передавали"
2016-07-10 00:00:00,Местами по краю,,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,Высокая пожарная опасность (4 класс пожарной опасности),
2016-07-10 00:00:00,Местами по краю,,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,Высокий класс пожарной опасности,
2016-07-12 18:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Шквал , Очень сильный дождь , Сильный ливень , Крупный град , Чрезвычайная пожарная опасность",,"Падение деревьев, обрыв проводов электропередач, обрушение кровли"
2016-07-13 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,"Вечером 13 с сохранением ночью 14 июля местами по Пермскому краю ожидаются грозы сильные, местами очень сильные дожди.",
2016-07-18 20:00:00,Местами по краю, +,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,местами по югу сохранится высокая пожарная опасность,
2016-07-18 08:00:00,Местами по краю, +,ОЯ,Метеорологическое, Очень сильный дождь,"утром 18 с сохранением днем 18.07.2016 местами по ПК ожидаются грозы, сильные и очень сильные дожди",
2016-07-22 00:00:00,Местами по краю, +,НЯ,Метеорологическое, Чрезвычайная пожарная опасность,Высокая пожарная опасность,
2016-07-26 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Продолжительный сильный дождь","27.07. местами по краю сильный дождь, грозы, порывы втера при грозах 15-20 м/с",
2016-07-27 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,"28,29,30 июля на большей части территории Пермского края ожидается высокая пожарная опасность  (4 класс).",
2016-07-31 16:00:00,Кочевский МР, +,ОЯ,Метеорологическое, Сильный ливень,По данным МС Кочево отмечался сильный ливень 45 мм менее чем за час явление сохраниться до конца дня 31 июля 2016,
2016-08-01 13:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое, Аномально жаркая погода,           С 1 по 5 августа в Пермском крае ожидается аномально жаркая погода со среднесуточной температурой воздуха на 7 градусов выше климатической нормы.,
2016-08-04 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,4-5 августа по юго-западу края ожидается чрезвычайная пожарная опасность (5 класс),
2016-08-03 18:00:00,Местами по краю, +,ОЯ,Метеорологическое," Аномально жаркая погода , Чрезвычайная пожарная опасность","          04-05 августа местами по Пермскому краю  сохранится высокая пожарная опасность                    (4 класс), 5 августа по юго-западу ожидается чрезвычайная пожарная опасность (5 класс).",
2016-08-11 12:00:00,Местами по краю,,ОЯ,Метеорологическое," Шквал , Крупный град , Аномально жаркая погода , Чрезвычайная пожарная опасность","Аномально жаркая погода, высокая и чрезвычайная ПО по югу, сильный дождь, шквал 20-25, крупный град",
2016-08-12 10:00:00,Местами по краю,,ОЯ,Метеорологическое," Шквал , Сильный ливень , Крупный град , Аномально жаркая погода , Чрезвычайная пожарная опасность","13.08 местами по Пермскому краю ожидаются сильные ливни, крупный град, шквал        20-25 м/с. аномально жаркая  погода  со  среднесуточной  температурой воздуха на 7 градусов и более выше климатической нормы.высокая пожарная опасность",
2016-08-13 09:00:00,Местами по краю,,ОЯ,Метеорологическое," Шквал , Сильный ливень , Крупный град , Аномально жаркая погода , Чрезвычайная пожарная опасность","13.08 местами по Пермскому краю ожидаются сильные ливни, крупный град, шквал     20-25 м/с.",
2016-08-16 08:00:00,Местами по краю, +,ОЯ,Метеорологическое," Аномально жаркая погода , Чрезвычайная пожарная опасность",,
2016-08-21 10:00:00,Местами по краю,,ОЯ,Метеорологическое, Аномально жаркая погода,С 21 по 25 августа по Пермскому краю сохранится аномально жаркая погода со среднесуточной температурой воздуха на 7 градусов выше климатической нормы.,
2016-08-28 19:18:00,Местами по краю, +,ОЯ,Метеорологическое," Шквал , Сильный ливень , Крупный град","В ближайшие 1-2 часа с сохранением до конца дня 28.08 и ночью 29.08 местами по Пермскому краю ожидается крупный град, сильный ливень, шквалистый ветер 20-25 м/с.",
2016-08-31 00:00:00,"Александровский МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, Кунгурский МР, Верещагинский МР, Чусовской МР, Кудымкарский МР, ГО г. Кунгур, ГО г. Лысьва",,ОЯ,Метеорологическое," Очень сильный дождь , Сильный ливень","31.08.2016 по горно-восточным районам края ожидатся очень сильный дождь, сильный ливень",
2016-09-06 09:30:00,Местами по краю,,ОЯ,Метеорологическое, Очень сильный дождь,днем 06.09.2016 местами по Пермскому краю ожидается очень сильный дождь,
2016-09-08 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Заморозки,Ночью 8-9 сентября местами по краю ожидаются заморозки в воздухе и на почве,
2016-09-17 12:00:00,Местами по краю,,ОЯ,КНЯ, Очень сильный дождь,Днем 17 и ночью 18 сентября местами по краю очень сильный дождь,
